시도,시군구,성별,연령구분, 2019년 ,,, 2020년 ,,, 2021년 ,,, 2022년 ,,, 2023년 ,,,,,
,,,,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,,,
서울,강서구,여,60~69세," 786,646,850 "," 29,193 "," 4,798 "," 916,864,530 "," 30,714 "," 5,163 "," 1,154,908,900 "," 33,616 "," 5,543 "," 1,321,123,830 "," 35,005 "," 5,836 "," 1,323,423,270 "," 35,547 "," 6,067 ",,,
서울,강서구,여,70~79세," 634,330,570 "," 22,988 "," 3,565 "," 786,697,940 "," 24,468 "," 3,860 "," 913,077,890 "," 25,839 "," 4,066 "," 973,695,470 "," 27,662 "," 4,383 "," 1,126,874,440 "," 30,036 "," 4,595 ",,,
서울,강서구,여,80~89세," 275,258,850 "," 10,060 "," 1,483 "," 362,220,110 "," 10,453 "," 1,604 "," 480,180,580 "," 11,131 "," 1,780 "," 530,226,660 "," 14,180 "," 2,014 "," 571,397,990 "," 14,960 "," 2,207 ",,,
서울,강서구,여,90~99세," 20,857,800 "," 1,040 ", 167 ," 27,094,830 "," 1,190 ", 174 ," 33,423,570 "," 1,248 ", 184 ," 54,398,610 "," 1,422 ", 241 ," 58,936,370 "," 1,549 ", 259 ,,,
서울,강서구,여,100세 이상, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,관악구,남,0~9세, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,관악구,남,10~19세," 4,921,680 ", 109 , 27 ," 5,227,880 ", 75 , 26 ," 8,672,360 ", 102 , 34 ," 4,538,530 ", 63 , 23 ," 4,490,820 ", 90 , 24 ,,,
서울,관악구,남,20~29세," 52,765,760 "," 1,002 ", 199 ," 52,758,380 ", 872 , 198 ," 83,643,240 "," 1,125 ", 257 ," 74,686,160 "," 1,081 ", 265 ," 64,158,080 "," 1,053 ", 259 ,,,
서울,관악구,남,30~39세," 158,459,370 "," 3,144 ", 586 ," 186,008,850 "," 3,340 ", 660 ," 195,872,940 "," 3,576 ", 725 ," 207,285,110 "," 3,766 ", 805 ," 257,951,620 "," 4,229 ", 876 ,,,
서울,관악구,남,40~49세," 304,659,140 "," 8,734 "," 1,572 "," 415,044,400 "," 8,960 "," 1,590 "," 472,269,410 "," 9,478 "," 1,695 "," 458,300,070 "," 9,718 "," 1,790 "," 470,087,330 "," 9,574 "," 1,808 ",,,
서울,관악구,남,50~59세," 538,243,000 "," 16,826 "," 2,831 "," 521,390,570 "," 16,226 "," 2,874 "," 570,550,550 "," 17,330 "," 3,019 "," 640,476,300 "," 17,403 "," 3,074 "," 736,747,190 "," 17,089 "," 3,108 ",,,
서울,관악구,남,60~69세," 614,787,850 "," 21,851 "," 3,508 "," 643,357,970 "," 22,139 "," 3,554 "," 751,345,130 "," 23,310 "," 3,810 "," 808,732,050 "," 23,094 "," 3,865 "," 835,703,770 "," 22,896 "," 3,945 ",,,
서울,관악구,남,70~79세," 409,123,910 "," 17,778 "," 2,539 "," 481,603,230 "," 17,653 "," 2,626 "," 488,888,610 "," 17,593 "," 2,662 "," 505,389,000 "," 17,314 "," 2,690 "," 548,911,890 "," 17,457 "," 2,713 ",,,
서울,관악구,남,80~89세," 122,380,090 "," 4,912 ", 637 ," 180,065,550 "," 5,343 ", 716 ," 182,374,810 "," 6,238 ", 849 ," 206,313,760 "," 6,857 ", 983 ," 265,753,850 "," 7,733 "," 1,119 ",,,
서울,관악구,남,90~99세," 3,035,970 ", 166 , 31 ," 3,393,560 ", 141 , 29 ," 6,859,350 ", 196 , 43 ," 13,803,300 ", 227 , 46 ," 19,391,580 ", 312 , 54 ,,,
서울,관악구,남,100세 이상, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,관악구,여,0~9세, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,관악구,여,10~19세," 4,578,490 ", 125 , 21 ," 6,273,200 ", 111 , 27 ," 6,089,250 ", 90 , 29 ," 5,781,470 ", 90 , 22 ," 6,132,890 ", 73 , 24 ,,,
서울,관악구,여,20~29세," 33,346,340 ", 646 , 146 ," 50,577,140 ", 827 , 191 ," 68,191,620 "," 1,111 ", 259 ," 70,345,300 "," 1,075 ", 270 ," 85,514,400 "," 1,094 ", 276 ,,,
서울,관악구,여,30~39세," 117,968,390 "," 1,278 ", 263 ," 103,407,090 "," 1,593 ", 363 ," 168,929,370 "," 2,214 ", 486 ," 178,989,300 "," 2,202 ", 487 ," 174,762,050 "," 2,204 ", 500 ,,,
서울,관악구,여,40~49세," 161,818,580 "," 3,902 ", 655 ," 164,442,800 "," 3,782 ", 668 ," 218,773,670 "," 3,983 ", 793 ," 202,818,850 "," 4,084 ", 803 ," 228,082,890 "," 4,165 ", 780 ,,,
서울,관악구,여,50~59세," 390,074,480 "," 11,941 "," 1,928 "," 364,947,850 "," 11,050 "," 1,900 "," 412,699,140 "," 11,163 "," 1,933 "," 387,800,280 "," 10,950 "," 1,988 "," 419,818,510 "," 10,687 "," 1,962 ",,,
서울,관악구,여,60~69세," 545,360,340 "," 19,817 "," 3,025 "," 626,409,370 "," 19,902 "," 3,152 "," 679,238,850 "," 21,329 "," 3,428 "," 675,725,220 "," 20,366 "," 3,451 "," 704,546,290 "," 20,113 "," 3,561 ",,,
서울,관악구,여,70~79세," 515,719,170 "," 20,476 "," 2,851 "," 603,251,930 "," 20,698 "," 2,859 "," 680,773,450 "," 21,525 "," 3,062 "," 651,300,950 "," 20,652 "," 3,127 "," 712,073,690 "," 20,860 "," 3,200 ",,,
서울,관악구,여,80~89세," 186,099,200 "," 7,202 ", 973 ," 203,172,140 "," 7,551 "," 1,049 "," 303,112,380 "," 8,716 "," 1,242 "," 462,641,630 "," 10,649 "," 1,418 "," 427,179,790 "," 10,675 "," 1,541 ",,,
서울,관악구,여,90~99세," 25,596,030 ", 539 , 69 ," 9,500,260 ", 356 , 84 ," 16,543,800 ", 486 , 93 ," 24,874,500 ", 587 , 113 ," 32,869,050 ", 646 , 129 ,,,
서울,관악구,여,100세 이상, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,구로구,남,0~9세," 17,890,380 ", 117 , 10 ," 3,734,120 ", 86 , 11 , - , - , - , - , - , - , - , - , - ,,,
